,SRR893051,SRR893073,SRR893053,SRR893063,SRR893047,SRR893074,SRR893057,SRR893070,SRR893050,SRR893072,SRR893049,SRR893065,SRR893048,SRR893054,SRR893056,SRR893046,SRR893066,SRR893068,SRR893069,SRR893067,SRR893055,SRR893071,SRR893058,SRR893061,SRR893064,SRR893059,SRR893060,SRR893052,SRR893062
,pronucleus,morula,zygote,8-cell blastomere,oocyte,morula,4-cell blastomere,8-cell blastomere,pronucleus,morula,pronucleus,8-cell blastomere,oocyte,2-cell blastomere,2-cell blastomere,oocyte,8-cell blastomere,8-cell blastomere,8-cell blastomere,8-cell blastomere,2-cell blastomere,8-cell blastomere,4-cell blastomere,8-cell blastomere,8-cell blastomere,4-cell blastomere,4-cell blastomere,zygote,8-cell blastomere
ENSG00000101126,3.35638,14.2875,5.2743,10.1988,4.43684,17.6648,4.50337,3.76904,5.26609,8.1423,4.11438,10.9909,11.9045,4.89353,2.07145,5.91484,37.6304,8.04304,7.41178,32.3791,4.07986,12.9096,1.24274,24.0646,7.70091,0,0,4.48495,11.931
ENSG00000253799,29.9939,0,10.1212,29.2952,17.2206,0,4.24375,0,23.3739,3.90621,21.9663,8.66392,3.37602,10.6078,6.87509,0,0,2.2415,0,6.82242,2.89144,52.0891,0,0,0,0,3.13601,23.3833,8.49231
ENSG00000248636,20.4713,0,22.4249,0,28.6578,0,1.89718,0,8.40558,0,20.1605,0,45.6038,11.4655,8.28713,59.5771,0,0,3.3144,2.20904,8.34497,7.17136,0,0,0,0,7.66039,13.3434,0
ENSG00000144233,16.1993,5.48997,5.04632,11.488,2.85906,4.99035,8.61149,25.9327,9.48192,2.61789,7.16138,3.23157,2.81282,12.7502,3.83653,0.762847,1.72952,19.1596,5.90146,10.0075,7.30911,21.1712,4.72713,20.8428,14.3709,5.76413,5.01839,18.9225,10.8119
ENSG00000232677,27.1154,0.964546,31.1719,4.56146,15.7315,4.9103,2.70839,0,17.9509,1.23632,12.1054,1.40126,25.0413,7.74373,10.4024,30.6374,0,5.08671,0,12.1454,9.10649,1.38714,3.61203,3.50225,0,4.72663,5.44484,24.8485,5.69783
ENSG00000183801,8.23927,3.05877,9.90574,8.69864,2.94772,2.33881,17.0905,0,5.38352,1.30784,4.86914,14.9452,0.785545,23.531,17.7468,0.607224,20.2501,11.589,0,28.7914,4.68166,5.99039,9.90435,0,0,11.5136,12.9166,37.4483,4.83973
ENSG00000132446,7.95313,0,4.16754,0,11.5851,0,1.75103,50.9283,1.4446,0,8.44431,11.797,10.4707,16.9696,1.24817,0,1.11411,8.42956,0,78.2159,0,10.7971,0,16.845,22.6529,0,0,4.68107,0
ENSG00000054116,2.90678,8.65453,1.09165,10.7111,2.28635,8.38079,2.88592,40.3805,2.39338,18.4143,2.33904,31.7535,2.7079,1.85574,5.28346,6.37567,0.443581,28.4761,15.0306,24.6384,1.04714,12.015,0,12.2003,16.3067,0,0.289495,3.05102,7.72383
ENSG00000085662,45.3119,1.04875,7.34281,0.435258,6.99759,0.68734,17.542,12.1305,26.8346,3.12741,37.7828,0,1.36148,15.6389,1.15944,9.26876,0,4.45518,0,0.280229,3.29635,5.29296,8.48964,0.879219,0,0,12.7027,47.6161,0
ENSG00000164080,18.6664,0.383222,5.97362,3.85531,10.7556,0.884922,28.0861,8.78554,13.4878,3.15714,19.9722,4.8847,4.92771,22.9143,31.3874,4.29017,4.88227,4.98441,1.76354,0.594282,5.90558,4.03622,14.7077,2.11504,11.2862,0.650097,24.7641,8.04512,3.6442
ENSG00000011376,8.07935,1.62683,17.5485,0.829908,15.2398,1.0366,18.6362,0,9.88156,1.93378,13.0187,13.7271,11.1647,15.4086,18.1321,11.6206,22.4904,16.4104,2.91622,3.50967,14.0465,12.1514,8.7362,1.69293,3.91097,0,5.79345,18.4936,1.96786
ENSG00000117280,9.19836,2.77798,16.0675,2.87257,8.34233,5.20226,18.5924,0,10.6267,5.28558,25.903,0.77207,6.15068,14.3313,51.5438,4.81724,0,2.28283,1.45665,24.4748,21.5012,1.75439,4.11241,2.56393,0,5.50854,4.96234,17.2237,1.74361
ENSG00000140395,5.39378,9.19055,5.17315,4.64806,12.1774,18.7011,7.27537,35.9455,4.35644,9.0041,3.90736,12.435,4.76349,6.70867,10.2149,8.04703,25.498,15.8758,5.02527,5.11096,6.99064,5.09406,4.29013,6.20976,22.3895,3.91705,3.52553,5.67905,2.62896
ENSG00000116521,3.74507,4.94004,0.946005,1.77067,0,11.246,4.08071,14.0953,3.00589,26.0404,4.41778,19.5148,0,1.97078,0,0,67.6409,40.7896,6.15084,3.77999,1.41156,2.23114,0,7.38552,32.1469,0,0,2.36453,10.6423
